"Location","latitude","longitude"
"San Clemente",33.4274,-117.6124
"Shoreline",47.755,-122.3415
"Elizabeth",40.6636,-74.2107
"Hewlett",40.6438,-73.6946
"Rossendale",53.6988,-2.2891
"La Farge",43.5742,-90.6409
"Penland",35.9327,-82.4216
"Harrow",42.0354,-82.9086
"Gilberts",42.1083,-88.3495
"Northfield",44.4583,-72.6668
"Sparta",36.4916,-85.977
"Rocklin",38.7907,-121.2358
"Portage",42.2012,-85.58
"Hillside",41.8776,-87.9025
"Witney",51.782,-1.4871
"Newtown Square",39.986,-75.4014
"Wimborne Minster",50.7989,-1.9837
"Walker",47.1806,-94.5864
"Northvale",40.9982,-73.9488
"Trepassey",46.7367,-53.3637
"Elko",40.8324,-115.7631
"Wheeling",40.0639,-80.7209
"West Greenwich",41.632,-71.5719
"Cherryfield",44.6249,-67.989
"Lee",42.314,-73.2422
"Carson City",39.1638,-119.7674
"North Curl Curl",-33.7522,151.3057
"Schenectady",42.8142,-73.9396
"Hawley",41.4763,-75.1821
"Wolverton",52.0643,-0.8081
"Male",4.1755,73.5093
"Manitowoc",44.0886,-87.6576
"Sun City",33.6175,-112.2756
"Rättvik",60.8813,15.0764
"Newport News",36.9784,-76.4297
"Newquay",50.4181,-5.0755
"Deford",43.422,-83.206
"Racine",42.7261,-87.7829
"Burnaby",49.2827,-123.1207
"Wheat Ridge",39.7661,-105.0772
"Paradise",36.0972,-115.1467
"Northamptonshire",52.267,-0.8525
"Indianola",41.3594,-93.5574
"Whittier",33.9792,-118.0328
"Berwyn",41.85,-87.7937
"Harrison",40.9264,-74.1638
"Innisfail",52.028,-113.9512
"Verona",40.8324,-74.2432
"St-Jean-sur-Richelieu",45.3174,-73.2654
"Mineral Bluff",34.883,-84.2696
"Nablus",32.2254,35.2605
"Rzeszów",50.0412,21.9995
"Bockenem",52.0085,10.0775
"Jasper",52.8792,-118.0798
"Snow Lake",54.8967,-100.021
"Charlottetown",46.2382,-63.1311
"Bellmawr",39.8668,-75.0945
"Dickson",36.0775,-87.387
"Junction City",39.0286,-96.8314
"Harwich Port",41.6716,-70.0705
"Peachtree City",33.3968,-84.5957
"Isle of Walney",54.0889,-3.2605
"Fagernes",60.9862,9.239
"Napa",38.2975,-122.2869
"Pawleys Island",33.4338,-79.1212
"Sunol",37.5949,-121.8964
"Lorain",41.4528,-82.1824
"Muncie",40.1934,-85.3864
"Ivyland",40.2273,-75.0565
"Carver",44.2312,-93.6277
"Gettysburg",39.8309,-77.2311
"Moorabbin",-37.947,145.084
"Stinson Beach",37.8974,-122.646
"Rolling Meadows",42.0842,-88.0131
"Dunstable",51.886,-0.5206
"Walnut",34.0203,-117.8653
"Winkelman",32.9872,-110.775
"Managua",12.8654,-85.2072
"New Pekin",38.3953,-85.7649
"Smithfield",35.5084,-78.3393
"Yucaipa",34.0336,-117.0431
"Tannersville",40.042,-75.3052
"Summersville",38.2835,-80.8517
"Winslow",35.0242,-110.6974
"Hanahan",32.9252,-80.0077
"Eagle River",45.9204,-89.2482
"Painswick",51.8456,-2.2339
"Averill Park",42.6411,-73.5385
"Harar",9.3094,42.125
"New Port Richey",28.2442,-82.7193
"Rochester Hills",42.6584,-83.1499
"Hubbard",41.1567,-80.5692
"Lynn Haven",30.245,-85.6485
"West Panama City Beach",30.2323,-85.783
"Batesville",35.7698,-91.6406
"Lonquimay",-38.4239,-71.2402
"Uyuni",-20.4604,-66.8261
"Owen Sound",44.5667,-80.9333
"Acushnet",41.682,-70.9088
"Indian Trail",35.0751,-80.6692
"Rockaway Beach",45.6233,-123.9453
"West Melbourne",-28.0714,153.4434
"Placentia",47.3451,-53.975
"Radcliff",37.8404,-85.9491
"Bowers Beach",39.1012,-75.3915
"Newbury Park",34.1808,-118.9074
"Noblesville",40.0456,-86.0086
"Parker",39.5186,-104.7614
"Dunedin",-28.0197,170.0983
"Abuja",9.0579,7.4951
"Kendal",54.3284,-2.7479
"Fargo",46.8772,-96.7898
"Crystal Lake",42.2411,-88.3162
"Paso Robles",35.6257,-120.69
"Joondalup",-31.7436,115.7681
"Lismore",-28.8133,153.2773
"Camino",38.7574,-120.6759
"Wellesley",42.2965,-71.2937
"Kewaunee",44.4584,-87.5003
"Comstock Park",43.045,-85.6797
"Joshua Tree",34.1347,-116.3151
"Owings Mills",39.4196,-76.7803
"Rougemont",36.1364,-78.9359
"Wethersfield",41.7148,-72.6527
"Baldwin Park",34.0868,-117.9711
"Kettering",39.6895,-84.1688
"Oak Ridge",35.9634,-84.2907
"Whitmire",34.4976,-81.6118
"Cragsmoor",41.696,-74.3656
"Herkimer",43.025,-74.9859
"East Vancouver",45.6387,-122.6615
"Groveland",37.8154,-120.2308
"Monmouth",45.0012,-123.3164
"Fort Sam Houston",29.4524,-98.4418
"Kaunas",54.8985,23.9036
"Westborough",42.2695,-71.6162
"Marlborough",42.3459,-71.5523
"Whangarei Central",-35.7251,174.3237
"Chickasha",35.0526,-97.9364
"Dothan",31.2232,-85.393
"Beacon",41.5048,-73.969
"Hazlet",40.4168,-74.1788
"Barnsley",53.5536,-1.4805
"Yarmouth",43.8374,-66.1167
"Harper Woods",42.439,-82.927
"Hyrum",41.6319,-111.8549
"Elkton",39.6068,-75.8306
"Media",39.9197,-75.3887
"Looneyville",38.6399,-81.4385
"Potsdam",44.6698,-74.9813
"Paros",37.0856,25.1489
"Red Deer",52.2681,-113.8117
"Hagerstown",39.6418,-77.72
"Red Boiling Springs",36.5328,-85.8216
"Bellport",40.7526,-72.9401
"Trumbull",41.2596,-73.2077
"Palmerston North",-40.3523,175.6082
"Dodge City",37.7528,-100.0171
"Chino",34.0122,-117.6889
"Petoskey",45.3738,-84.9554
"Wisbech",52.6657,0.1597
"West Plains",36.7281,-91.8524
"Cobourg",43.959,-78.1654
"South Bronx",40.8248,-73.9096
"Lumberton",34.6182,-79.0086
"Cardiff-by-the-Sea",33.0229,-117.2811
"Ossining",41.1606,-73.8884
"Tuckerton",39.5527,-74.328
"Maryville",35.7565,-83.9705
"Clearfield",41.0251,-78.4398
"Carrboro",35.9104,-79.0753
"Gerlach",40.6514,-119.3598
"Bonners Ferry",48.6914,-116.3131
"Kamuela",20.0209,-155.6679
"Girdwood",60.9654,-149.1085
"Zephyrhills",28.2328,-82.1795
"Liphook",51.0705,-0.8
"Freetown",8.4656,-13.2317
"Gdynia",54.5189,18.5305
"North Austin",30.25,-97.75
"Orange Park",30.1658,-81.7065
"Winona",44.0559,-91.6664
"Inman",34.8603,-81.3032
"Port Hope",43.9466,-78.2933
"Hinesburg",44.3484,-73.0799
"Pacific Grove",36.6177,-121.9166
"Lockport",43.1706,-78.6903
"Todmorden",53.7124,-2.0973
"Cradoc",-51.9482,146.1626
"Watchung",40.6412,-74.425
"Newmarket",52.9511,0.981
"Merrickville",45.115,-75.6935
"Americana",-22.7406,-47.3341
"Guanajuato",21.1619,-101.6913
"Plattsburgh",44.6995,-73.4529
"Folkestone",51.0814,1.1695
"Kirksville",40.1948,-92.5833
"Rio Grande City",26.379,-98.8209
"Neptune",40.2206,-74.0766
"Deventer",52.255,6.1638
"Crockett",31.3212,-95.4609
"Roseburg",43.2165,-123.3417
"Capezzano Pianore",43.9943,10.2652
"Giverny",49.0789,1.5336
"Maastricht",50.8514,5.6919
"Utrecht",52.0907,5.1214
"Bishkek",42.8746,74.5698
"Newtownards",54.5921,-5.69
"Birch Run",43.2502,-83.7818
"Palmer",61.6014,-149.1126
"Mckees Rocks",40.4739,-80.0638
"Mertztown",40.5012,-75.6805
"Ocean Shores",46.9737,-124.1562
"Harare",-17.8292,31.0522
"Cross Lanes",38.4249,-81.7784
"Islamabad",33.6844,73.0479
"Phillipsburg",40.6928,-75.1909
"Edmeston",42.7418,-75.3175
"Morden",49.1916,-98.1019
"Varna",43.2167,27.9167
"Reseda",34.2003,-118.536
"Murrells Inlet",33.5516,-79.0417
"North Brunswick",40.4529,-74.5136
"Yucca Valley",34.1142,-116.4322
"Sherwood Park",53.5232,-113.308
"Orono",44.8834,-68.671
"Aspen",39.1911,-106.8175
"Tatamy",40.7504,-75.2636
"South Egremont",42.1173,-73.4345
"Anacortes",48.5126,-122.6126
"Pittsville",44.4516,-89.8287
"Occoquan",38.6834,-77.2607
"Guangzhou",23.1291,113.2644
"Leander",30.5788,-97.8531
"Wallingford",51.6529,-1.2569
"Arecibo",18.4719,-66.6415
"Payson",40.0444,-111.7322
"Breaux Bridge",30.2729,-91.9057
"Tewksbury",42.5985,-71.2628
"Brookhaven",31.5834,-90.4416
"La Puente",34.02,-117.9495
"East Millinocket",45.6313,-68.6868
"Fox Lake",42.3967,-88.1837
"Pavo",30.9776,-83.9327
"Grand Canyon Village",36.0566,-112.143
"White Lake",35.7981,-78.8156
"Hickory Hills",41.7225,-87.7901
"Munno Para West",-34.6539,138.6654
"Zaragoza",41.6488,-0.8891
"Zwolle",52.5081,6.0941
"Tawang",27.586,91.8569
"Yerevan",40.1772,44.5035
"Vincennes",38.6773,-87.5286
"Travelers Rest",34.9766,-82.4384
"Feuchtwangen",49.205,10.322
"Arnhem",51.984,5.8987
"Jeffersonville",38.2776,-85.7372
"Goodyear",33.4353,-112.3582
"Delaware",40.2987,-83.0679
"Stittsville",45.261,-75.9222
"Fraser",39.944,-104.9903
"Sister Bay",45.1879,-87.1279
"Flin Flon",54.7682,-101.865
"Exton",40.0303,-75.6335
"Monessen",40.1483,-79.883
"Big Rapids",43.6981,-85.4837
"Mundubbera",-25.4217,151.2959
"Tekoa",47.2337,-117.0738
"John o'Groats",58.6362,-3.0697
"Bagni di Lucca",44.0112,10.6256
"North Ocean Pines",38.3938,-75.1464
"Danielson",41.8026,-71.8852
"Port Huron",42.9736,-82.4384
"Lewistown",40.5979,-77.5735
"Siena",43.3186,11.33
"Morton Grove",42.0408,-87.7828
"Owensboro",37.7719,-87.1111
"Chesterton",41.6106,-87.0642
"Bradley Beach",40.2034,-74.0121
"Wicker Park",41.9098,-87.6778
"Ciudad Juarez",31.6904,-106.4245
"East Peoria",40.6662,-89.5801
"North Augusta",33.5016,-81.9656
"Elephant and Castle",51.4981,-0.0987
"Poughquag",41.6284,-73.6931
"Shumen",43.2719,26.9361
"Ocean City",38.3365,-75.0849
"Union City",40.6976,-74.2632
"Tecumseh",42.0065,-83.9465
"Litchfield Park",33.4936,-112.3592
"St. Ives",50.2086,-5.4803
"Fair Haven",43.3153,-76.7535
"Plainview",40.7765,-73.4673
"Bridgwater",51.1271,-3.0088
"Brea",33.9165,-117.9003
"Thermal",33.6047,-116.1555
"Nimes",43.8367,4.3601
"Munith",42.3558,-84.2237
"Brookline",42.3318,-71.1212
"Corolla",36.3802,-75.8303
"Hutto",30.5427,-97.5467
"Barking",51.5366,0.0759
"Alexandria Bay",44.335,-75.9173
"Whiteland",39.55,-86.0833
"Maribel",44.2547,-87.8539
"Rio Rancho",35.2334,-106.6645
"Hillsborough",27.9233,-82.373
"London Borough of Croydon",51.3762,-0.0982
"Revelstoke",51,-118.2167
"Southern Pines",35.174,-79.3923
"Magnolia Springs",30.4082,-87.7713
"Sabetha",39.8975,-95.7972
"Glenwood Springs",39.5501,-107.3248
"Hamamatsu-shi",34.7101,137.7269
"Hayes Valley",37.7765,-122.4225
"New Bern",35.1085,-77.0441
"Honesdale",41.5767,-75.2582
"Great Neck",40.8006,-73.7285
"Powell River",49.8341,-124.5249
"Moberly",39.4184,-92.4382
"Burnham on Sea",51.2388,-3.1317
"Colonial Heights",37.244,-77.4103
"Villa Rica",33.7325,-84.9236
"Iquitos",-3.7481,-73.2472
"Desert Hot Springs",33.9611,-116.5017
"Saltaire",53.8491,-1.7794
"Pompano Beach",26.2379,-80.1248
"Ivins",37.1744,-113.6864
"Leisure City",25.511,-80.4011
"Oosterhout",51.6475,4.8599
"Harer",9.3094,42.1251
"Endwell",42.1166,-76.0262
"Chiang Mai",18.7061,98.9817
"Largs",55.7964,-4.8724
"Dunn",35.6085,-78.592
"Ste.-Élisabeth",46.1814,-73.4221
"Dawson",53.5501,-115.4507
"Sault Ste. Marie",46.5227,-84.3453
"Pondicherry",11.931,79.7852
"Sherburne",42.6889,-75.4979
"Telluride",37.9375,-107.8123
"Sandy Spring",39.1494,-77.0288
"Bayfield",46.8268,-90.8189
"Honeoye",42.7599,-77.5186
"South Boston",42.3334,-71.0495
"La Conner",48.3887,-122.399
"Namur",50.4669,4.8675
"North Hartsville",34.383,-80.0986
"Amesbury",42.8578,-70.93
"El Dorado Hills",38.6857,-121.0822
"Cartagena",10.391,-75.4794
"Krumville",41.9002,-74.2272
"Berwick-upon-Tweed",55.7717,-2.0128
"Apeldoorn",52.2112,5.9699
"Nederland",39.9612,-105.5108
"Cloverdale",38.8055,-123.0171
"Udon Thani",17.415,102.7859
"Llandrindod Wells",52.2428,-3.3813
"Bordentown",40.148,-74.7119
"La Habra",33.9315,-117.9461
"Dudley",52.3925,-2.0775
"Harker Heights",31.0835,-97.659
"Vaughan",43.8361,-79.4985
"Demopolis",32.5185,-87.8376
"Water Mill",40.9465,-72.3364
"Parramatta",-33.8131,151.0034
"Kneeland",40.7101,-123.93
"Canberra City Centre",-35.2809,149.13
"Kaitieke",-39.2424,175.7312
"Romeo",42.8126,-83.0212
"South Tacoma",47.1942,-122.4707
"Palm City",27.1842,-80.267
"East Norwalk",41.0834,-73.3976
"Bonney Lake",47.1776,-122.1869
"Van Wert",40.8693,-84.5841
"Cannock",52.6863,-2.0296
"Clarendon Hills",41.7948,-87.9544
"West Allis",43.016,-88.007
"Argyll and Bute",56.3524,-5.6419
"Gemeinde Offenburg",48.4707,7.9407
"Makati City",14.5547,121.0244
"Caboolture",-27.084,152.9516
"Earlville",42.1506,-76.0705
"Tombstone",31.7126,-110.0676
"East Bend",36.2404,-80.49
"Lake St. Louis",38.7875,-90.7856
"Spring Hill",28.4844,-82.5718
"Mineola",40.7493,-73.6408
"Mill Creek",47.8643,-122.204
"Front Royal",38.9226,-78.1738
"Little Current",45.978,-81.9201
"Beaconsfield",51.6058,-0.6444
"Hunt Valley",39.4987,-76.6686
"Sawley",52.8891,-1.3193
"Mattoon",39.4831,-88.3728
"Rushford",43.812,-91.7524
"Sheboygan",43.7508,-87.7145
"Erbil",36.1926,44.0109
"Mount Zion",39.9322,-88.8681
"Tomkins Cove",41.2612,-73.9771
"Dungannon",54.5036,-6.7673
"Marshall",35.9062,-89.1498
"Fishers",39.9568,-86.0134
"Belchertown",42.2775,-72.4005
"Wainfleet",42.9456,-79.3016
"Chicopee",42.1487,-72.6079
"Buena Vista",38.8404,-106.1311
"Chesham",51.7042,-0.6116
"Jelgava",56.648,23.7199
"Sulphur Springs",33.1384,-95.6015
"Divide",38.8968,-105.1616
"Conifer",39.5203,-105.3043
"Hawthorne",33.9164,-118.3526
"Pound Ridge",41.2055,-73.5724
"Palma",39.5696,2.6502
"Stoneham",42.48,-71.0995
"Banjul",13.4559,-16.579
"Harlingen",26.1906,-97.6961
"Fuquay-Varina",35.5859,-78.8
"Emerson",41.4889,-74.0158
"Prestatyn",53.3383,-3.4073
"Novato",38.1065,-122.5686
"Dedham",42.2418,-71.1662
"Bromma",59.3313,17.9619
"Stowe",44.4659,-72.6846
"Sicklerville",39.7112,-74.9796
"Kintnersville",40.5731,-75.1905
"Hamtramck",42.3967,-83.0567
"Cuba",21.5218,-77.7812
"Redwood Valley",39.2653,-123.2055
"Bucharest",44.4268,26.1025
"Fairview",40.8121,-73.9986
"Spotsylvania",38.2042,-77.6078
"Glens Falls",43.3094,-73.6448
"Black Mountain",35.617,-82.321
"Wood River",40.7144,-99.0868
"Oregon City",45.3573,-122.6068
"Kannapolis",35.4874,-80.6217
"Yermo",34.901,-116.6333
"Raeford",34.9824,-79.2248
"Villa Park",41.9034,-87.9674
"Sugar Land",29.6197,-95.6349
"Fort Oglethorpe",34.948,-85.2568
"Buford",34.1206,-84.0044
"Southend-on-Sea",51.5378,0.714
"West Long Branch",40.3043,-74.0169
"Snow Hill",35.5351,-75.6943
"Grambling",32.5274,-92.7147
"Traralgon",-38.1953,146.5441
"Llano",30.7592,-98.6756
"Theresa",44.2097,-75.601
"Uckfield",50.9696,0.0959
"Lisle",41.7917,-88.0838
"Wangaratta",-36.3581,146.3268
"Sag Harbor",40.9979,-72.2924
"Iasi",47.1614,27.5845
"Leipzig",51.3433,12.3863
"Romulus",42.2223,-83.3966
"Slidell",30.2752,-89.7812
"Hartsdale",41.0234,-73.7919
"De Pere",44.4489,-88.0604
"Atchison",39.5634,-95.1219
"Richmond Hill",40.7044,-73.829
"Snellville",33.8573,-84.0199
"Zelhem",51.9795,6.3038
"Monroeville",40.4212,-79.7886
"Stornoway",58.2111,-6.388
"Carneys Point",39.7073,-75.4558
"Alice Springs",-23.698,133.8812
"Mayaguez",18.201,-67.1396
"Cedar Falls",42.5278,-92.4455
"Monument Valley",36.9961,-110.1972
"Łódź",51.7592,19.4558
"Hounslow",51.4686,-0.3614
"Richardson",32.9483,-96.7299
"Kennedale",32.646,-97.217
"Napier",-39.495,176.9129
"Pleasant Hill",37.9485,-122.0608
"Big Bay",46.8236,-87.9563
"Invercargill",-46.4132,168.3538
"Oberlin",41.2967,-82.2194
"Menifee",33.6924,-117.1859
"Rivière-du-Loup",47.8274,-69.5414
"Madoc",44.5046,-77.4728
"Yate",51.5413,-2.4154
"Willits",39.4096,-123.3556
"Lake Charles",30.2266,-93.2174
"Potosi",37.936,-90.7861
"Rockwall",32.9312,-96.4597
"Eagar",34.1118,-109.2906
"Sweet Briar",37.5544,-79.1079
"Warrenton",38.7131,-77.792
"Littlestown",39.7432,-77.0892
"Opelika",32.6454,-85.3785
"Berkeley Springs",39.6252,-78.2272
"Eagle Mountain",40.3142,-111.7226
"Chemal",51.3557,85.7513
"Fowlerville",42.6609,-84.0739
"Maleny",-26.7466,152.8516
"Blackburn",53.7486,-2.4853
"Miller Place",40.9465,-72.9886
"Arvada",39.8028,-105.0875
"Fort Washington",40.1416,-75.2171
"Leavenworth",39.321,-94.9223
"Bismarck",46.8133,-100.779
"Sandpoint",48.2766,-116.5533
"Tewkesbury",51.9933,-2.1571
"Lapel",40.0529,-85.8478
"Summerside",46.3967,-63.7895
"Fort Smith",35.3859,-94.3986
"Palermo",38.1157,13.3615
"Whitby",54.4901,-0.6217
"Kinshasa",-4.4419,15.2663
"Watford",51.6568,-0.3903
"Turner Valley",50.6862,-114.265
"Clarkfield",44.748,-95.366
"Armagh",54.3503,-6.6528
"Evergreen",39.6336,-105.3172
"Milton-under-Wychwood",51.8584,-1.5456
"Arkville",42.1508,-74.5376
"Bowen",-20.0049,148.2441
"Sisters",44.2909,-121.5517
"North Canton",40.8759,-81.4023
"Alabaster",33.2443,-86.8164
"Southgate",42.2131,-83.2104
"Nixa",37.0434,-93.2944
"Ocotillo",32.679,-116.0642
"Duxbury",42.0418,-70.6728
"Liminka",64.7387,25.3961
"Bodega",38.3482,-122.963
"Dubuque",42.5006,-90.6646
"Lake Wales",27.9014,-81.5859
"East Columbus",39.9712,-82.9932
"Ringoes",40.4387,-74.8718
"Ansedonia",42.4216,11.25
"Fogelsville",40.5767,-75.6102
"Sunbright",36.407,-84.6513
"Moosup",41.711,-71.8812
"Camporrobles",39.7858,-1.19
"Kaysville",41.0352,-111.938
"Largo",27.9095,-82.7873
"Hilversum",52.2272,5.1649
"Regina",50.4452,-104.6189
"Swansea City and County",51.6214,-3.9436
"Westlake",41.4553,-81.9179
"Hollister",36.8525,-121.4015
"Green River",41.5284,-109.4662
"Shepherdstown",39.4328,-77.804
"East Toledo",41.6518,-83.5284
"Downtown McAllen",26.2034,-98.23
"Stockton-on-Tees",54.567,-1.3187
"Wawarsing",41.7324,-74.3637
"D'hanis",29.2207,-99.2154
"Bellmore",40.6687,-73.5271
"Beirut",33.8938,35.5018
"Marseille",43.2965,5.3698
"Leverett",42.4701,-72.4565
"Mount Dora",28.8029,-81.6446
"Jefferson City",38.5767,-92.1735
"Malibu",34.0259,-118.7798
"Bradbury",34.1456,-117.9702
"Louisa",38.0336,-82.5834
"Canaan",42.0334,-73.3222
"Radium Springs",32.9082,-106.8939
"South Ayrshire",55.4329,-4.6465
"Stevens Point",44.5236,-89.5746
"Centerville",39.6276,-84.159
"Rapid City",44.0805,-103.231
"Coral Gables",25.7214,-80.2684
"Letchworth",51.9791,-0.2266
"East Amherst",43.027,-78.6856
"La Vernia",29.356,-98.1242
"Belmar",40.1805,-74.0218
"Zaporizhzhya",47.8388,35.1396
"West Leyden",43.5573,-75.3489
"Port Alberni",49.239,-124.8047
"North Hampton",42.9771,-70.8395
"Mount Holly",39.9945,-74.7875
"Invermere",50.5156,-116.0274
"East Perth",-31.9522,115.8575
"West Point",41.3811,-73.954
"Annandale",38.8312,-77.2143
"Ilwaco",46.3083,-124.0464
"Egg Harbor City",39.5296,-74.6196
"Brussels",50.8503,4.3517
"Ruidoso",33.3317,-105.6035
"Midland Park",40.989,-74.1424
"Shorewood",41.8828,-87.8159
"Thorndike",42.1907,-72.2484
"Prince George",53.9146,-122.7501
"Newville",40.1659,-77.4002
"Broomfield",39.9205,-105.0867
"Leiderdorp",52.1644,4.5268
"Paramus",40.9445,-74.0719
